Timestamp_Accel,SystemActivated,AccelX,AccelY,AccelZ,AccelX_KF,AccelY_KF,AccelZ_KF,Roll,Pitch,Yaw,Timestamp_GPS,Speed,Latitude,Longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
6.94,1.0,0.017,-0.011,0.018,-0.005,0.008,0.018,-1.523,0.015,0.012,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.03,1.0,0.046,0.007,0.019,0.016,-0.002,0.018,-1.522,0.012,0.012,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.14,1.0,0.052,-0.016,0.027,0.037,-0.005,0.018,-1.52,0.014,0.011,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.24,1.0,0.015,-0.016,0.026,0.038,-0.009,0.024,-1.523,0.014,0.011,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.34,1.0,-0.014,-0.017,0.04,0.012,-0.016,0.032,-1.525,0.012,0.011,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.44,1.0,-0.007,-0.01,0.015,-0.002,-0.006,0.028,-1.525,0.012,0.012,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.54,1.0,0.007,-0.026,0.027,0.0,-0.024,0.022,-1.527,0.019,0.013,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.64,1.0,-0.006,-0.021,0.016,-0.002,-0.023,0.022,-1.528,0.018,0.013,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.74,1.0,-0.009,-0.063,0.032,-0.006,-0.037,0.021,-1.528,0.016,0.014,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.85,1.0,-0.01,-0.047,0.023,-0.008,-0.044,0.027,-1.527,0.016,0.016,6.94,65.2,40.512787,-3.404477,612.7,4,5,331.9,0.0
7.95,1.0,0.015,-0.043,0.02,0.001,-0.047,0.024,-1.526,0.017,0.017,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.04,1.0,-0.028,-0.025,0.012,-0.006,-0.042,0.018,-1.528,0.018,0.018,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.14,1.0,-0.016,-0.029,0.008,-0.015,-0.031,0.011,-1.529,0.023,0.019,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.24,1.0,0.014,-0.006,0.016,-0.009,-0.012,0.016,-1.531,0.022,0.02,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.34,1.0,0.026,0.009,0.015,0.013,-0.013,0.013,-1.531,0.019,0.021,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.44,1.0,0.036,0.003,0.011,0.029,0.004,0.014,-1.531,0.018,0.022,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.54,1.0,-0.061,-0.005,-0.03,-0.002,0.003,-0.004,-1.531,0.024,0.022,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.64,1.0,0.015,0.02,0.014,-0.007,0.008,-0.004,-1.532,0.025,0.022,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.74,1.0,-0.029,-0.032,0.014,-0.016,-0.001,0.015,-1.535,0.026,0.022,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.85,1.0,-0.032,-0.0,0.022,-0.03,-0.015,0.008,-1.535,0.029,0.023,7.920000000000001,64.5,40.512924,-3.404577,612.5,4,5,331.9,0.0
8.94,1.0,0.037,-0.043,0.025,-0.004,-0.025,0.021,-1.538,0.032,0.024,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.05,1.0,0.05,0.0,-0.028,0.032,-0.02,0.0,-1.535,0.032,0.025,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.14,1.0,-0.025,0.019,-0.014,0.012,0.005,-0.013,-1.533,0.03,0.024,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.24,1.0,-0.063,0.041,0.003,-0.029,0.021,-0.008,-1.534,0.028,0.024,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.34,1.0,-0.009,0.016,0.008,-0.032,0.021,0.004,-1.535,0.026,0.024,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.44,1.0,0.019,0.04,-0.015,-0.002,0.029,-0.002,-1.533,0.024,0.024,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.55,1.0,0.018,0.01,-0.021,0.012,0.025,-0.018,-1.529,0.022,0.024,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.65,1.0,0.033,-0.003,0.009,0.018,0.013,-0.005,-1.529,0.023,0.024,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.75,1.0,0.028,-0.02,-0.009,0.028,-0.005,-0.001,-1.527,0.023,0.024,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.85,1.0,0.029,-0.005,0.0,0.026,-0.012,-0.006,-1.523,0.022,0.025,8.91,63.6,40.513065,-3.40468,612.9,4,5,330.8,1.055
9.95,1.0,0.003,-0.029,-0.014,0.021,-0.016,-0.006,-1.52,0.023,0.025,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.06,1.0,-0.017,-0.016,-0.021,-0.002,-0.017,-0.017,-1.518,0.025,0.027,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.15,1.0,-0.003,-0.005,0.021,-0.005,-0.016,-0.0,-1.518,0.026,0.03,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.25,1.0,0.047,0.015,0.005,0.013,0.0,0.008,-1.516,0.026,0.031,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.35,1.0,0.062,0.025,0.008,0.043,0.009,0.002,-1.513,0.024,0.033,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.45,1.0,0.038,-0.01,-0.004,0.05,0.009,0.006,-1.511,0.025,0.034,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.55,1.0,-0.023,-0.034,0.018,0.013,-0.009,0.005,-1.512,0.029,0.035,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.65,1.0,-0.027,-0.028,0.037,-0.014,-0.024,0.022,-1.514,0.032,0.036,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.76,1.0,-0.033,-0.013,0.05,-0.021,-0.018,0.036,-1.518,0.035,0.037,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.86,1.0,0.045,0.026,0.045,0.004,0.001,0.044,-1.519,0.032,0.038,9.89,62.2,40.51321,-3.404772,613.3,4,5,330.8,1.055
10.95,1.0,0.066,-0.018,0.038,0.039,-0.009,0.044,-1.517,0.03,0.039,10.89,60.9,40.513348,-3.404868,613.5,3,5,330.1,0.703
