Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
10.85,0,-0.04,0.031,0.001,-0.015,0.014,-0.003,-1.637,-0.005,-0.203,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
10.96,0,-0.035,0.003,-0.001,-0.038,0.009,0.001,-1.639,-0.007,-0.204,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
11.05,0,-0.017,0.028,-0.018,-0.024,0.021,-0.007,-1.638,-0.008,-0.205,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
11.15,0,-0.009,0.005,-0.015,-0.019,0.017,-0.012,-1.636,-0.01,-0.207,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
11.25,1,0.019,0.015,-0.019,-0.003,0.007,-0.013,-1.634,-0.01,-0.208,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
11.35,1,0.008,-0.022,-0.019,0.01,-0.006,-0.018,-1.631,-0.01,-0.209,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
11.45,1,-0.028,-0.019,-0.009,-0.001,-0.004,-0.017,-1.631,-0.011,-0.21,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
11.55,1,-0.013,0.019,-0.004,-0.023,-0.003,-0.01,-1.631,-0.015,-0.211,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
11.65,1,-0.013,0.003,0.008,-0.009,0.002,0.002,-1.633,-0.019,-0.212,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
11.75,1,0.025,-0.007,-0.019,0.004,0.002,-0.009,-1.632,-0.019,-0.213,10.84,0.0,40.505222,-3.353082,594.6,23,271,-1.0,-1.0
