Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
22.99,1,-0.025,0.014,0.026,-0.013,0.022,0.024,-1.619,0.001,-1.126,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.09,1,-0.049,0.041,0.008,-0.038,0.013,0.011,-1.62,-0.001,-1.127,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.2,1,-0.032,-0.004,0.016,-0.035,0.021,0.015,-1.62,-0.001,-1.128,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.29,1,-0.04,0.022,-0.02,-0.031,0.014,0.004,-1.62,-0.0,-1.128,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.4,1,-0.036,-0.023,0.011,-0.042,-0.005,-0.003,-1.62,-0.002,-1.128,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.5,1,-0.005,-0.003,0.047,-0.025,0.001,0.023,-1.622,-0.002,-1.129,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.6,1,0.029,-0.006,0.019,0.005,-0.002,0.026,-1.623,-0.001,-1.128,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.7,1,0.017,-0.05,0.009,0.013,-0.026,0.018,-1.623,0.005,-1.126,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.8,1,-0.009,-0.049,0.026,0.011,-0.04,0.02,-1.624,0.012,-1.124,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
23.9,1,-0.041,-0.025,0.042,-0.019,-0.04,0.03,-1.628,0.018,-1.122,22.97,64.0,40.505798,-3.356529,604.8,3,5,274.9,0.703
24.01,1,-0.022,-0.015,0.048,-0.027,-0.023,0.037,-1.632,0.019,-1.12,23.96,67.5,40.505814,-3.356752,605.0,3,5,275.6,0.703
