Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
24.57,1,-0.025,-0.078,0.009,-0.036,-0.048,0.013,-1.739,0.024,-1.178,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
24.67,1,0.01,-0.056,0.013,-0.017,-0.058,0.015,-1.737,0.024,-1.175,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
24.77,1,-0.026,-0.045,-0.008,-0.017,-0.057,0.002,-1.735,0.026,-1.173,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
24.87,1,-0.011,-0.037,0.009,-0.019,-0.04,-0.002,-1.735,0.023,-1.171,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
24.98,1,-0.038,0.006,-0.002,-0.021,-0.019,0.006,-1.736,0.021,-1.17,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
25.07,1,-0.018,-0.001,-0.008,-0.022,-0.003,-0.006,-1.734,0.02,-1.168,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
25.17,1,0.052,0.006,0.009,0.004,-0.002,0.007,-1.732,0.019,-1.167,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
25.27,1,0.039,0.025,-0.015,0.033,0.006,-0.005,-1.731,0.018,-1.167,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
25.38,1,-0.046,0.018,-0.07,0.001,0.016,-0.034,-1.726,0.018,-1.167,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
25.48,1,-0.005,0.012,-0.119,-0.015,0.017,-0.073,-1.716,0.019,-1.167,24.56,79.6,40.505848,-3.357018,605.6,3,5,275.6,0.352
25.57,1,-0.029,0.014,-0.187,-0.015,0.015,-0.131,-1.705,0.019,-1.167,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
25.68,1,-0.081,0.015,-0.173,-0.043,0.014,-0.165,-1.693,0.017,-1.166,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
25.78,1,-0.024,-0.002,-0.15,-0.055,0.008,-0.165,-1.683,0.015,-1.166,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
25.88,1,0.034,-0.001,-0.12,0.001,0.003,-0.135,-1.672,0.013,-1.166,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
25.99,1,-0.023,0.012,-0.135,-0.001,0.008,-0.132,-1.659,0.009,-1.166,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
26.08,1,-0.056,0.034,-0.104,-0.039,0.022,-0.129,-1.648,0.003,-1.167,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
26.19,1,-0.047,-0.022,-0.085,-0.041,0.003,-0.096,-1.644,0.002,-1.167,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
26.28,1,-0.018,0.003,-0.102,-0.03,-0.005,-0.101,-1.643,0.0,-1.168,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
26.38,1,0.085,0.047,-0.096,0.016,0.015,-0.098,-1.642,-0.003,-1.171,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
26.48,1,-0.009,0.078,-0.119,0.026,0.049,-0.104,-1.643,-0.006,-1.173,25.61,85.9,40.505863,-3.357287,605.7,3,5,274.6,1.055
26.58,1,-0.017,0.043,-0.143,-0.001,0.058,-0.124,-1.64,-0.005,-1.174,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
26.68,1,-0.037,-0.0,-0.147,-0.018,0.029,-0.142,-1.624,-0.005,-1.173,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
26.78,1,-0.022,-0.008,-0.098,-0.024,0.01,-0.124,-1.619,-0.003,-1.173,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
26.88,1,-0.036,-0.016,-0.075,-0.031,-0.008,-0.099,-1.614,-0.002,-1.173,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
26.98,1,-0.012,0.003,-0.061,-0.02,-0.004,-0.076,-1.609,-0.006,-1.174,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
27.08,1,-0.032,0.035,-0.06,-0.02,0.016,-0.064,-1.603,-0.014,-1.175,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
27.19,1,0.039,0.044,-0.013,-0.009,0.023,-0.051,-1.599,-0.015,-1.175,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
27.28,1,0.054,0.017,0.012,0.032,0.027,-0.009,-1.597,-0.014,-1.175,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
27.39,1,-0.007,-0.01,-0.059,0.021,0.013,-0.029,-1.594,-0.009,-1.175,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
27.48,1,-0.032,-0.034,0.018,-0.014,-0.009,-0.018,-1.597,-0.006,-1.174,26.55,87.5,40.505882,-3.357574,605.3,3,5,275.3,0.703
27.58,1,0.025,-0.002,-0.022,0.005,-0.015,-0.004,-1.595,-0.007,-1.175,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
27.68,1,-0.001,-0.021,-0.015,0.013,-0.02,-0.02,-1.593,-0.01,-1.176,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
27.8,1,-0.071,0.032,-0.001,-0.031,0.005,-0.012,-1.594,-0.013,-1.177,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
27.88,1,0.014,-0.008,0.055,-0.024,0.002,0.02,-1.598,-0.013,-1.177,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
28.0,1,0.074,0.005,-0.01,0.022,0.006,0.02,-1.598,-0.017,-1.178,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
28.08,1,0.035,0.002,-0.022,0.049,0.004,-0.007,-1.597,-0.017,-1.179,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
28.18,1,-0.027,-0.009,-0.019,0.017,-0.005,-0.016,-1.598,-0.02,-1.179,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
28.28,1,-0.074,0.006,0.019,-0.034,0.001,-0.001,-1.601,-0.025,-1.18,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
28.39,1,-0.051,0.013,0.021,-0.054,0.006,0.012,-1.604,-0.026,-1.181,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
28.48,1,-0.032,-0.004,-0.0,-0.041,0.0,0.011,-1.604,-0.026,-1.181,27.54,86.8,40.505901,-3.357868,604.8,3,5,276.0,1.406
28.59,1,-0.03,0.018,0.011,-0.035,0.011,0.006,-1.605,-0.029,-1.182,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
28.68,1,-0.008,0.0,0.043,-0.023,0.011,0.02,-1.611,-0.028,-1.182,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
28.79,1,-0.034,-0.03,0.043,-0.024,-0.01,0.037,-1.614,-0.022,-1.182,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
28.88,1,-0.001,-0.042,0.068,-0.019,-0.027,0.05,-1.617,-0.017,-1.183,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
28.99,1,0.013,-0.009,0.043,-0.001,-0.021,0.056,-1.616,-0.016,-1.183,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
29.1,1,0.004,-0.011,0.03,0.009,-0.016,0.039,-1.619,-0.011,-1.182,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
29.19,1,-0.025,-0.034,0.056,-0.011,-0.026,0.043,-1.625,-0.01,-1.18,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
29.29,1,-0.024,-0.035,0.039,-0.018,-0.029,0.048,-1.629,-0.01,-1.179,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
29.39,1,-0.033,-0.037,0.029,-0.029,-0.029,0.035,-1.63,-0.007,-1.179,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
29.49,1,-0.018,-0.022,0.015,-0.021,-0.035,0.03,-1.632,-0.006,-1.179,28.56,88.3,40.505924,-3.358147,604.7,3,5,276.0,0.703
29.6,1,-0.013,0.022,-0.036,-0.019,-0.009,-0.003,-1.63,-0.009,-1.179,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
29.69,1,-0.015,0.028,-0.055,-0.017,0.016,-0.033,-1.625,-0.012,-1.179,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
29.79,1,-0.023,-0.015,-0.05,-0.018,0.007,-0.044,-1.623,-0.013,-1.178,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
29.89,1,-0.043,-0.032,-0.056,-0.024,-0.012,-0.049,-1.618,-0.01,-1.177,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
29.99,1,-0.056,-0.038,-0.055,-0.046,-0.03,-0.054,-1.614,-0.009,-1.176,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
30.09,1,-0.043,-0.052,-0.055,-0.045,-0.044,-0.051,-1.61,-0.007,-1.176,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
30.19,1,-0.008,0.002,-0.037,-0.03,-0.025,-0.049,-1.607,-0.008,-1.175,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
30.29,1,-0.018,-0.006,-0.045,-0.022,-0.016,-0.046,-1.605,-0.01,-1.173,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
30.4,1,-0.051,-0.049,-0.044,-0.036,-0.023,-0.047,-1.602,-0.007,-1.17,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
30.49,1,-0.023,-0.06,-0.021,-0.03,-0.042,-0.032,-1.601,-0.004,-1.168,29.55,91.5,40.505947,-3.358443,605.0,4,5,276.0,0.0
30.59,1,0.007,-0.077,-0.042,-0.021,-0.057,-0.038,-1.598,0.002,-1.165,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
30.69,1,0.036,-0.035,-0.017,0.012,-0.054,-0.025,-1.595,0.005,-1.163,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
30.79,1,-0.037,-0.036,-0.063,0.008,-0.046,-0.041,-1.59,0.007,-1.16,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
30.89,1,-0.063,-0.067,-0.007,-0.038,-0.054,-0.032,-1.59,0.006,-1.158,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
31.0,1,0.002,-0.03,-0.041,-0.028,-0.044,-0.029,-1.586,0.006,-1.155,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
31.1,1,-0.031,-0.043,-0.033,-0.022,-0.043,-0.036,-1.584,0.008,-1.152,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
31.19,1,-0.046,-0.024,-0.035,-0.035,-0.032,-0.034,-1.583,0.013,-1.148,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
31.29,1,-0.038,-0.051,-0.002,-0.037,-0.037,-0.028,-1.584,0.017,-1.144,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
31.39,1,-0.039,-0.019,-0.027,-0.038,-0.035,-0.011,-1.585,0.028,-1.141,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
31.49,1,-0.029,-0.02,-0.007,-0.034,-0.032,-0.015,-1.588,0.033,-1.137,30.57,92.6,40.50597,-3.358751,604.7,4,5,276.0,0.0
