Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
18.46,0,-0.001,0.052,-0.0,-0.01,0.032,0.002,-1.594,-0.016,0.147,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
18.56,0,0.077,-0.014,-0.027,0.016,0.03,-0.009,-1.593,-0.016,0.143,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
18.66,0,-0.107,0.046,-0.003,-0.006,0.02,-0.016,-1.595,-0.017,0.14,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
18.76,0,-0.036,0.022,-0.011,-0.058,0.031,-0.016,-1.595,-0.017,0.137,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
18.86,0,0.04,-0.007,-0.017,0.0,0.015,-0.008,-1.593,-0.015,0.135,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
18.96,0,-0.046,0.02,-0.011,-0.015,0.004,-0.014,-1.59,-0.013,0.132,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
19.06,0,0.022,-0.005,-0.03,-0.004,0.008,-0.018,-1.588,-0.009,0.13,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
19.16,0,-0.092,-0.03,-0.035,-0.028,-0.01,-0.025,-1.586,-0.003,0.13,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
19.26,0,0.045,-0.041,-0.039,-0.025,-0.022,-0.034,-1.588,0.002,0.129,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
19.37,0,0.002,-0.026,-0.0,0.009,-0.029,-0.025,-1.592,0.003,0.129,18.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
19.47,0,0.066,-0.029,0.061,0.032,-0.024,0.012,-1.597,0.003,0.128,19.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
19.56,0,-0.041,-0.019,0.023,-0.006,-0.031,0.032,-1.604,0.001,0.128,19.42,0.0,40.583424,-3.555156,601.5,13,229,-1.0,-1.0
