Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
41.92,0,-0.05,-0.013,0.01,-0.049,-0.016,0.023,-1.591,0.014,0.099,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.02,0,-0.042,0.005,0.005,-0.05,-0.006,0.009,-1.591,0.014,0.099,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.12,0,-0.008,-0.007,0.042,-0.027,-0.005,0.025,-1.593,0.015,0.099,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.24,0,-0.012,0.0,0.008,-0.018,-0.004,0.023,-1.591,0.018,0.099,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.32,1,-0.023,-0.011,0.026,-0.018,-0.005,0.02,-1.591,0.019,0.099,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.43,1,-0.029,0.003,0.021,-0.021,-0.001,0.02,-1.592,0.018,0.099,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.52,1,-0.049,0.017,0.03,-0.037,0.004,0.028,-1.594,0.015,0.099,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.63,1,-0.043,0.023,0.019,-0.038,0.015,0.021,-1.593,0.015,0.098,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.72,1,-0.023,0.007,0.026,-0.04,0.014,0.025,-1.594,0.016,0.098,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.82,1,0.008,-0.011,0.011,-0.016,0.0,0.018,-1.592,0.018,0.098,41.97,0.0,40.513298,-3.4063,609.1,21,339,-1.0,-1.0
42.93,1,-0.03,-0.012,-0.011,-0.016,-0.004,0.004,-1.591,0.017,0.098,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.04,1,-0.001,-0.019,0.002,-0.011,-0.011,-0.002,-1.593,0.018,0.098,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.14,1,-0.043,-0.019,0.009,-0.018,-0.015,0.008,-1.596,0.019,0.099,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.24,1,0.009,-0.025,0.005,-0.02,-0.022,0.004,-1.595,0.022,0.1,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.33,1,0.013,-0.023,0.027,0.003,-0.025,0.011,-1.595,0.024,0.1,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.43,1,-0.007,-0.032,0.006,0.001,-0.024,0.02,-1.597,0.025,0.101,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.53,1,-0.041,-0.012,-0.005,-0.014,-0.022,0.005,-1.599,0.025,0.102,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.64,1,-0.031,-0.01,0.03,-0.033,-0.014,0.007,-1.601,0.026,0.102,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.73,1,-0.0,-0.007,0.026,-0.015,-0.011,0.022,-1.603,0.029,0.103,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.83,1,0.01,-0.018,-0.021,-0.0,-0.012,0.007,-1.602,0.031,0.104,42.99,83.5,40.52187,-3.412418,586.1,128,50,325.2,171.211
43.93,1,-0.025,-0.023,-0.004,-0.014,-0.019,-0.003,-1.601,0.033,0.105,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.03,1,-0.02,-0.018,0.023,-0.017,-0.019,0.009,-1.601,0.034,0.106,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.13,1,-0.014,-0.041,-0.005,-0.008,-0.025,0.003,-1.601,0.036,0.108,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.23,1,-0.047,-0.043,0.015,-0.036,-0.037,0.004,-1.6,0.039,0.11,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.33,1,-0.012,-0.023,-0.008,-0.024,-0.033,0.005,-1.601,0.039,0.111,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.43,1,-0.058,-0.003,-0.01,-0.04,-0.02,-0.003,-1.602,0.039,0.112,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.53,1,0.017,-0.006,0.025,-0.02,-0.009,0.005,-1.605,0.036,0.112,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.63,1,0.004,0.035,0.021,-0.001,0.011,0.017,-1.605,0.032,0.112,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.73,1,-0.023,0.01,-0.01,-0.006,0.016,0.008,-1.603,0.031,0.113,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.83,1,-0.009,0.009,-0.004,-0.012,0.011,0.001,-1.604,0.032,0.114,43.98,81.9,40.521988,-3.412745,626.9,8,10,324.1,1.055
44.93,1,-0.041,-0.014,0.034,-0.022,0.002,0.009,-1.605,0.033,0.115,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.03,1,0.031,-0.004,0.012,-0.011,-0.003,0.016,-1.604,0.034,0.116,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.13,1,0.017,0.014,-0.028,0.015,-0.001,-0.0,-1.603,0.033,0.117,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.23,1,-0.049,0.043,0.016,-0.004,0.022,0.0,-1.603,0.032,0.117,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.33,1,-0.0,0.009,0.014,-0.015,0.023,0.004,-1.604,0.032,0.117,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.43,1,-0.042,-0.022,-0.027,-0.015,-0.0,-0.002,-1.604,0.032,0.117,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.54,1,-0.077,-0.044,0.014,-0.057,-0.023,-0.003,-1.607,0.032,0.117,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.64,1,0.008,0.0,0.036,-0.033,-0.017,0.017,-1.611,0.029,0.118,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.73,1,-0.026,-0.006,-0.013,-0.018,-0.012,0.014,-1.611,0.025,0.118,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.83,1,-0.066,-0.029,-0.021,-0.05,-0.011,-0.014,-1.61,0.024,0.119,44.98,86.4,40.522163,-3.412905,626.2,6,5,324.5,0.703
45.93,1,-0.044,-0.008,0.021,-0.043,-0.017,0.001,-1.613,0.023,0.121,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.04,1,-0.1,-0.03,-0.02,-0.077,-0.023,0.001,-1.613,0.022,0.122,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.14,1,-0.044,0.017,0.008,-0.067,-0.008,-0.008,-1.611,0.019,0.122,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.24,1,0.015,0.036,0.023,-0.022,0.02,0.012,-1.614,0.015,0.123,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.34,1,-0.003,0.006,-0.002,-0.0,0.014,0.013,-1.612,0.013,0.124,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.43,1,-0.048,0.036,-0.023,-0.027,0.026,-0.011,-1.607,0.011,0.124,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.53,1,-0.012,0.008,0.004,-0.031,0.017,-0.009,-1.606,0.009,0.124,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.63,1,-0.025,0.021,0.045,-0.014,0.013,0.021,-1.605,0.009,0.125,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.73,1,-0.134,0.004,-0.006,-0.068,0.014,0.014,-1.604,0.009,0.125,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.83,1,0.023,-0.005,0.045,-0.054,0.009,0.022,-1.606,0.013,0.126,45.98,87.9,40.522335,-3.413071,626.7,6,5,324.1,0.352
46.93,1,-0.007,-0.022,-0.039,-0.005,-0.01,0.005,-1.606,0.017,0.127,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.04,1,-0.016,-0.005,-0.02,-0.018,-0.007,-0.02,-1.608,0.016,0.128,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.13,1,0.03,-0.033,-0.002,0.006,-0.02,-0.014,-1.611,0.017,0.13,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.24,1,0.001,-0.044,0.018,0.007,-0.032,0.009,-1.615,0.017,0.131,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.34,1,-0.003,-0.011,-0.024,0.01,-0.026,-0.007,-1.61,0.011,0.132,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.44,1,-0.029,-0.001,-0.003,-0.015,-0.014,-0.009,-1.61,0.008,0.133,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.55,1,-0.033,-0.005,-0.008,-0.023,-0.007,-0.01,-1.612,0.004,0.135,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.64,1,-0.07,-0.031,0.017,-0.05,-0.016,0.006,-1.611,0.003,0.137,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.74,1,0.003,-0.025,-0.001,-0.029,-0.023,0.006,-1.614,0.004,0.139,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.84,1,0.002,-0.03,0.002,-0.019,-0.028,0.005,-1.611,0.004,0.14,47.0,87.1,40.522507,-3.413236,625.9,4,5,324.1,0.352
47.94,1,-0.012,-0.006,-0.04,-0.001,-0.017,-0.02,-1.61,0.005,0.142,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.04,1,-0.03,-0.041,0.014,-0.022,-0.022,-0.009,-1.61,0.011,0.144,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.15,1,0.044,-0.074,-0.009,0.006,-0.047,-0.001,-1.612,0.012,0.147,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.24,1,-0.055,-0.065,-0.005,-0.009,-0.063,-0.005,-1.612,0.015,0.15,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.34,1,-0.056,-0.028,0.001,-0.042,-0.05,-0.004,-1.61,0.018,0.154,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.44,1,-0.007,-0.092,0.029,-0.032,-0.057,0.012,-1.611,0.023,0.159,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.54,1,-0.012,-0.099,-0.033,-0.018,-0.083,0.002,-1.609,0.031,0.165,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.64,1,0.016,-0.102,0.001,-0.004,-0.096,-0.016,-1.607,0.038,0.172,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.75,1,0.006,-0.089,-0.016,0.005,-0.098,-0.008,-1.608,0.045,0.178,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.84,1,-0.018,-0.068,-0.002,-0.001,-0.085,-0.009,-1.608,0.048,0.183,48.07,89.3,40.522686,-3.413425,625.8,4,5,323.1,1.055
48.94,1,-0.036,-0.037,0.046,-0.023,-0.057,0.017,-1.61,0.05,0.188,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.04,1,-0.083,-0.047,0.003,-0.047,-0.052,0.021,-1.61,0.048,0.192,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.14,1,-0.005,-0.035,-0.011,-0.039,-0.042,0.004,-1.609,0.047,0.197,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.24,1,-0.023,-0.017,-0.019,-0.02,-0.032,-0.01,-1.61,0.046,0.2,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.35,1,0.044,-0.012,0.005,0.002,-0.018,-0.008,-1.609,0.045,0.204,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.45,1,0.003,-0.02,-0.005,0.017,-0.018,-0.003,-1.609,0.041,0.208,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.54,1,-0.033,-0.012,-0.024,-0.017,-0.018,-0.01,-1.61,0.038,0.212,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.64,1,0.035,0.003,0.014,0.002,-0.008,-0.006,-1.609,0.033,0.215,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.74,1,-0.011,-0.025,-0.005,0.008,-0.01,0.004,-1.61,0.033,0.219,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.84,1,-0.019,-0.012,0.013,-0.007,-0.017,0.0,-1.61,0.036,0.223,48.98,89.4,40.522865,-3.413607,626.0,3,5,322.4,1.758
49.94,1,-0.011,-0.023,0.011,-0.013,-0.016,0.007,-1.614,0.035,0.227,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.04,1,-0.041,-0.027,0.001,-0.017,-0.022,0.013,-1.614,0.038,0.23,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.14,1,-0.013,-0.011,-0.017,-0.026,-0.019,-0.008,-1.614,0.039,0.234,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.24,1,0.035,-0.02,-0.011,-0.001,-0.017,-0.009,-1.615,0.038,0.238,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.34,1,0.048,0.008,-0.014,0.032,-0.009,-0.012,-1.615,0.036,0.242,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.44,1,-0.036,-0.001,-0.015,0.011,-0.005,-0.015,-1.614,0.031,0.246,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.54,1,0.024,0.025,0.011,0.005,0.015,-0.005,-1.615,0.029,0.25,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.65,1,-0.023,-0.054,-0.016,-0.001,-0.015,-0.002,-1.613,0.03,0.254,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.74,1,-0.013,0.003,-0.019,-0.012,-0.017,-0.013,-1.61,0.028,0.256,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.84,1,0.015,0.047,0.012,-0.009,0.011,-0.004,-1.61,0.024,0.258,49.98,90.0,40.523022,-3.413802,625.9,3,5,319.9,3.164
50.94,1,0.074,0.076,0.031,0.036,0.049,0.015,-1.609,0.018,0.26,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.15,1,-0.008,0.064,-0.003,0.026,0.06,-0.006,-1.603,0.019,0.264,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.26,1,-0.098,0.038,-0.011,-0.032,0.053,-0.008,-1.605,0.018,0.265,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.35,1,-0.19,0.06,-0.022,-0.106,0.049,-0.014,-1.61,0.016,0.267,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.44,1,-0.014,0.039,0.01,-0.102,0.053,-0.008,-1.613,0.017,0.269,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.54,1,-0.044,0.003,-0.006,-0.05,0.03,0.002,-1.612,0.015,0.272,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.65,1,0.033,0.004,0.003,-0.027,0.011,-0.0,-1.611,0.016,0.275,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.75,1,0.101,-0.019,0.023,0.051,0.005,0.009,-1.61,0.018,0.277,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.86,1,0.054,0.002,-0.036,0.066,-0.01,-0.002,-1.607,0.017,0.28,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
51.95,1,-0.061,0.017,-0.024,0.013,0.007,-0.027,-1.603,0.013,0.282,50.99,90.6,40.523182,-3.414,627.1,3,5,317.5,4.922
52.05,1,-0.083,0.021,0.005,-0.051,0.013,-0.011,-1.606,0.009,0.285,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.15,1,-0.068,0.007,0.01,-0.062,0.013,0.008,-1.611,0.007,0.288,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.26,1,0.02,-0.039,-0.039,-0.03,-0.012,-0.019,-1.609,0.008,0.291,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.35,1,0.0,-0.012,0.013,-0.0,-0.018,-0.002,-1.615,0.005,0.293,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.46,1,-0.007,0.017,-0.015,-0.01,0.002,-0.009,-1.615,0.004,0.296,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.56,1,0.011,0.011,-0.008,0.0,0.009,-0.012,-1.615,0.006,0.299,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.65,1,0.02,-0.014,0.009,0.009,-0.001,0.0,-1.615,0.011,0.303,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.75,1,-0.013,-0.034,-0.016,0.001,-0.019,-0.005,-1.613,0.016,0.307,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.85,1,0.04,-0.029,0.004,0.018,-0.027,-0.008,-1.611,0.023,0.311,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
52.95,1,-0.006,-0.01,-0.006,0.006,-0.02,0.0,-1.609,0.026,0.315,51.98,91.2,40.52335,-3.414211,628.2,3,5,315.4,4.57
53.06,1,0.063,-0.012,0.008,0.031,-0.011,0.002,-1.607,0.027,0.318,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.15,1,-0.003,-0.013,-0.02,0.029,-0.016,-0.004,-1.607,0.029,0.322,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.25,1,-0.019,0.014,-0.017,-0.002,0.0,-0.018,-1.607,0.031,0.325,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.35,1,0.025,0.003,-0.015,0.005,0.001,-0.012,-1.605,0.031,0.327,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.45,1,0.029,0.042,-0.003,0.023,0.017,-0.013,-1.605,0.028,0.329,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.56,1,-0.011,0.053,0.018,0.01,0.04,0.002,-1.604,0.024,0.33,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.66,1,0.039,0.04,-0.007,0.01,0.045,0.006,-1.604,0.02,0.332,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.76,1,0.046,0.058,-0.019,0.033,0.046,-0.009,-1.605,0.016,0.333,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.85,1,-0.021,0.03,-0.011,0.018,0.045,-0.015,-1.606,0.011,0.335,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
53.96,1,0.032,0.003,0.016,0.011,0.024,0.002,-1.606,0.011,0.337,52.99,91.7,40.523506,-3.41443,628.9,3,5,313.9,3.516
54.06,1,-0.116,-0.006,-0.021,-0.032,0.005,-0.007,-1.607,0.011,0.34,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.16,1,-0.008,-0.017,0.036,-0.057,-0.005,0.008,-1.607,0.013,0.343,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.25,1,0.079,-0.026,-0.034,0.018,-0.015,0.002,-1.604,0.015,0.345,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.36,1,-0.058,0.024,-0.025,0.013,-0.006,-0.026,-1.602,0.014,0.348,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.46,1,-0.029,0.006,0.033,-0.03,0.011,0.002,-1.606,0.013,0.35,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.55,1,-0.017,-0.007,-0.021,-0.026,-0.002,0.006,-1.607,0.014,0.353,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.66,1,0.017,0.008,-0.027,0.006,0.004,-0.016,-1.606,0.014,0.355,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.76,1,0.009,-0.011,0.011,-0.01,-0.0,-0.009,-1.61,0.013,0.358,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.85,1,-0.007,0.001,0.001,0.011,-0.007,-0.003,-1.61,0.012,0.36,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
54.96,1,0.011,0.005,-0.021,-0.002,0.005,-0.008,-1.607,0.012,0.363,53.98,92.3,40.523663,-3.414654,629.9,3,5,311.8,3.516
55.05,1,0.114,-0.012,0.041,0.051,-0.0,0.003,-1.608,0.013,0.366,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.16,1,-0.062,-0.022,-0.021,0.03,-0.02,0.009,-1.607,0.015,0.368,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.26,1,-0.069,-0.016,-0.014,-0.05,-0.016,-0.011,-1.607,0.015,0.372,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.36,1,-0.034,-0.017,-0.031,-0.036,-0.018,-0.015,-1.609,0.014,0.375,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.46,1,0.132,-0.035,0.007,0.026,-0.022,-0.015,-1.609,0.016,0.379,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.56,1,0.034,0.005,-0.021,0.061,-0.017,-0.009,-1.606,0.014,0.381,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.66,1,0.023,-0.013,-0.006,0.03,-0.005,-0.014,-1.603,0.013,0.384,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.75,1,0.058,-0.044,0.013,0.045,-0.028,-0.0,-1.603,0.014,0.388,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.86,1,-0.052,0.009,-0.007,0.006,-0.013,0.001,-1.602,0.013,0.39,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
55.96,1,-0.052,-0.028,0.011,-0.026,-0.014,0.003,-1.602,0.014,0.393,55.0,92.9,40.523811,-3.414886,631.3,3,5,310.1,3.867
56.06,1,0.02,0.012,0.011,-0.016,-0.01,0.011,-1.601,0.013,0.395,56.1,93.8,40.523952,-3.415132,632.2,3,5,307.6,4.219
56.16,1,0.006,0.016,-0.042,0.008,0.012,-0.019,-1.601,0.012,0.397,56.1,93.8,40.523952,-3.415132,632.2,3,5,307.6,4.219
56.26,1,0.067,0.032,0.012,0.024,0.014,-0.005,-1.602,0.009,0.398,56.1,93.8,40.523952,-3.415132,632.2,3,5,307.6,4.219
56.36,1,-0.021,0.011,-0.016,0.019,0.02,-0.008,-1.602,0.008,0.399,56.1,93.8,40.523952,-3.415132,632.2,3,5,307.6,4.219
