Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
25.69,1,-0.074,-0.025,0.016,-0.02,-0.002,0.026,-1.546,-0.037,-0.398,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
25.8,1,-0.022,-0.08,0.015,-0.041,-0.043,0.017,-1.545,-0.037,-0.4,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
25.89,1,0.0,-0.034,0.021,-0.012,-0.055,0.017,-1.545,-0.037,-0.403,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
26.0,1,-0.001,0.025,0.018,-0.013,-0.008,0.017,-1.546,-0.036,-0.404,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
26.1,1,0.032,-0.013,0.048,0.017,-0.007,0.033,-1.546,-0.036,-0.406,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
26.2,1,0.016,-0.005,-0.004,0.016,-0.009,0.022,-1.55,-0.03,-0.407,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
26.3,1,-0.015,-0.002,0.022,0.004,-0.004,0.012,-1.558,-0.027,-0.409,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
26.4,1,0.021,-0.038,-0.008,0.012,-0.018,0.011,-1.565,-0.028,-0.41,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
26.51,1,-0.002,0.001,0.026,0.009,-0.015,0.011,-1.563,-0.028,-0.412,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
26.6,1,-0.003,-0.016,0.002,0.008,-0.013,0.015,-1.563,-0.026,-0.413,25.73,66.0,40.584137,-3.552038,616.2,3,5,104.8,1.406
26.7,1,0.057,-0.048,0.026,-0.0,-0.014,0.007,-1.564,-0.026,-0.415,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
26.8,1,-0.005,-0.024,0.013,0.022,-0.03,0.016,-1.563,-0.028,-0.417,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
26.9,1,-0.084,-0.012,-0.025,-0.027,-0.025,-0.002,-1.561,-0.029,-0.418,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
27.0,1,0.06,-0.017,0.015,-0.017,-0.027,0.003,-1.565,-0.034,-0.42,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
27.11,1,-0.013,0.028,-0.002,0.02,0.003,0.004,-1.565,-0.035,-0.421,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
27.21,1,-0.015,0.042,-0.005,-0.006,0.025,-0.002,-1.565,-0.036,-0.423,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
27.3,1,0.059,0.01,0.026,0.005,0.028,0.006,-1.567,-0.037,-0.425,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
27.4,1,-0.054,0.01,-0.007,0.02,0.013,0.011,-1.567,-0.037,-0.427,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
27.5,1,-0.046,-0.059,-0.006,-0.053,-0.007,-0.005,-1.565,-0.04,-0.429,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
27.6,1,-0.032,0.007,0.015,0.003,-0.033,0.015,-1.565,-0.04,-0.432,26.72,65.3,40.584099,-3.551829,616.6,3,5,106.2,2.812
27.71,1,0.048,-0.004,0.003,-0.026,0.004,-0.007,-1.565,-0.041,-0.433,27.73,66.8,40.584053,-3.55162,616.7,3,5,107.2,2.461
