Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
31.84,1,-0.002,0.028,-0.0,-0.004,0.013,0.003,-1.682,-0.004,-2.459,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
31.94,1,-0.006,0.01,-0.011,-0.001,0.011,-0.004,-1.681,-0.007,-2.458,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.04,1,-0.024,0.012,-0.014,-0.009,0.018,-0.01,-1.68,-0.013,-2.458,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.14,1,-0.014,-0.034,0.014,-0.017,-0.003,-0.001,-1.682,-0.015,-2.457,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.25,1,-0.048,0.009,-0.011,-0.03,-0.006,-0.0,-1.683,-0.015,-2.456,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.34,1,-0.013,0.04,0.01,-0.022,0.017,0.0,-1.686,-0.021,-2.455,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.44,1,-0.006,0.018,-0.003,-0.022,0.019,0.005,-1.689,-0.021,-2.454,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.54,1,-0.045,-0.036,-0.001,-0.023,-0.006,0.0,-1.689,-0.017,-2.453,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.64,1,-0.007,0.013,0.002,-0.02,0.002,-0.005,-1.69,-0.016,-2.452,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.74,1,-0.002,0.026,0.0,-0.01,0.014,0.006,-1.692,-0.02,-2.45,31.87,65.7,40.584465,-3.557142,601.2,6,5,94.6,0.703
32.85,1,0.03,0.016,-0.016,0.003,0.01,-0.009,-1.691,-0.021,-2.449,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
32.94,1,0.01,-0.043,-0.007,0.018,-0.001,-0.007,-1.691,-0.021,-2.447,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.05,1,-0.014,-0.005,-0.023,0.0,-0.014,-0.016,-1.69,-0.021,-2.444,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.14,1,-0.037,-0.06,0.009,-0.015,-0.034,-0.007,-1.69,-0.021,-2.441,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.24,1,-0.037,-0.065,-0.024,-0.029,-0.054,-0.01,-1.69,-0.022,-2.438,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.35,1,-0.021,-0.029,-0.01,-0.031,-0.042,-0.014,-1.69,-0.024,-2.435,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.45,1,-0.001,-0.033,0.001,-0.015,-0.033,-0.004,-1.689,-0.025,-2.433,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.55,1,-0.009,-0.087,-0.002,-0.015,-0.058,-0.008,-1.687,-0.025,-2.43,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.66,1,0.043,-0.045,0.005,0.014,-0.058,-0.0,-1.686,-0.024,-2.427,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.75,1,0.029,-0.052,-0.01,0.034,-0.052,0.002,-1.683,-0.022,-2.424,32.9,69.0,40.584446,-3.556929,602.4,6,5,94.2,1.055
33.85,1,-0.006,-0.032,-0.017,0.011,-0.049,-0.011,-1.682,-0.013,-2.422,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
33.95,1,-0.016,-0.019,0.013,-0.005,-0.035,-0.003,-1.681,-0.007,-2.42,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.06,1,-0.005,0.003,-0.024,-0.001,-0.009,-0.009,-1.681,-0.007,-2.418,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.15,1,0.007,0.023,-0.004,-0.008,0.003,-0.01,-1.681,-0.007,-2.417,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.25,1,-0.007,-0.007,-0.009,0.001,0.003,-0.005,-1.68,-0.008,-2.415,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.35,1,-0.032,-0.028,-0.036,-0.014,-0.011,-0.022,-1.677,-0.005,-2.413,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.45,1,-0.036,-0.012,0.007,-0.028,-0.011,-0.014,-1.677,-0.003,-2.411,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.55,1,-0.053,0.032,-0.027,-0.037,0.001,-0.013,-1.678,-0.003,-2.409,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.65,1,-0.059,0.012,-0.022,-0.054,0.008,-0.021,-1.68,-0.002,-2.407,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.75,1,0.001,-0.005,0.013,-0.038,0.006,-0.007,-1.681,-0.001,-2.404,33.87,71.5,40.584435,-3.556698,603.4,6,5,93.2,1.406
34.85,1,0.08,-0.068,0.015,0.022,-0.028,0.01,-1.679,-0.001,-2.402,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
34.95,1,0.084,-0.012,-0.013,0.064,-0.024,0.003,-1.676,-0.001,-2.399,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.05,1,-0.029,-0.007,-0.02,0.032,-0.015,-0.011,-1.674,0.001,-2.397,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.15,1,-0.051,-0.037,-0.009,-0.018,-0.021,-0.015,-1.672,0.004,-2.393,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.26,1,-0.017,-0.013,0.015,-0.029,-0.023,0.0,-1.67,0.005,-2.391,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.36,1,0.012,-0.003,-0.009,-0.009,-0.02,-0.001,-1.668,0.006,-2.388,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.45,1,0.06,-0.006,-0.02,0.027,-0.009,-0.013,-1.665,0.006,-2.384,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.55,1,0.023,-0.061,0.014,0.029,-0.031,-0.001,-1.664,0.006,-2.381,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.65,1,-0.023,-0.013,-0.033,0.012,-0.022,-0.01,-1.663,0.003,-2.377,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.75,1,-0.044,-0.113,0.007,-0.023,-0.06,-0.013,-1.663,0.001,-2.374,34.89,74.7,40.584431,-3.556467,604.3,6,5,91.8,2.461
35.86,1,-0.107,-0.043,-0.016,-0.065,-0.06,-0.006,-1.665,0.001,-2.37,35.87,77.8,40.584435,-3.556209,605.9,6,5,90.7,2.461
35.96,1,-0.048,-0.017,-0.0,-0.064,-0.036,-0.009,-1.666,-0.0,-2.367,35.87,77.8,40.584435,-3.556209,605.9,6,5,90.7,2.461
36.06,1,0.058,0.015,-0.032,-0.007,-0.022,-0.007,-1.665,-0.003,-2.364,35.87,77.8,40.584435,-3.556209,605.9,6,5,90.7,2.461
