Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
16.56,1,0.015,0.016,0.073,-0.005,0.004,0.061,-1.611,0.02,0.065,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
16.66,1,-0.008,0.019,0.07,0.001,0.011,0.068,-1.619,0.017,0.065,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
16.76,1,-0.003,-0.009,0.069,-0.001,0.009,0.069,-1.626,0.018,0.066,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
16.87,1,-0.003,-0.001,0.055,-0.006,0.0,0.064,-1.631,0.018,0.066,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
16.96,1,-0.024,-0.012,0.045,-0.008,-0.005,0.053,-1.635,0.018,0.066,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
17.06,1,-0.048,-0.014,0.048,-0.031,-0.01,0.05,-1.64,0.02,0.066,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
17.16,1,-0.029,-0.031,0.065,-0.037,-0.022,0.053,-1.647,0.021,0.067,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
17.26,1,0.004,-0.016,0.07,-0.014,-0.021,0.068,-1.653,0.021,0.068,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
17.37,1,0.01,0.001,0.019,-0.004,-0.013,0.046,-1.655,0.021,0.068,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
17.47,1,0.006,0.034,0.033,0.008,0.008,0.035,-1.658,0.019,0.068,16.53,84.2,40.518585,-3.409622,625.6,4,5,324.5,0.352
17.56,1,-0.028,0.032,0.039,-0.009,0.02,0.036,-1.663,0.017,0.069,17.52,86.9,40.518768,-3.409793,625.7,4,5,323.8,1.055
17.71,1,-0.019,0.057,0.044,-0.022,0.041,0.04,-1.667,0.018,0.069,17.52,86.9,40.518768,-3.409793,625.7,4,5,323.8,1.055
17.76,1,-0.061,0.029,-0.018,-0.03,0.049,0.018,-1.667,0.02,0.069,17.52,86.9,40.518768,-3.409793,625.7,4,5,323.8,1.055
