Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
14.71,1,-0.028,0.044,-0.083,0.03,0.027,-0.066,-1.689,-0.02,-1.538,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
14.8,1,-0.083,0.044,-0.062,-0.03,0.042,-0.078,-1.679,-0.023,-1.539,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
14.9,1,-0.038,-0.003,-0.069,-0.053,0.024,-0.062,-1.675,-0.02,-1.541,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
15.0,1,-0.06,0.009,-0.053,-0.057,0.012,-0.057,-1.672,-0.019,-1.543,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
15.1,1,0.028,0.002,-0.042,-0.02,0.003,-0.057,-1.666,-0.02,-1.545,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
15.2,1,0.086,0.02,-0.042,0.036,0.009,-0.044,-1.66,-0.024,-1.547,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
15.3,1,0.031,0.046,-0.048,0.053,0.028,-0.044,-1.656,-0.026,-1.549,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
15.41,1,0.081,0.007,-0.093,0.058,0.022,-0.067,-1.649,-0.028,-1.551,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
15.5,1,0.01,-0.003,-0.107,0.042,0.01,-0.09,-1.638,-0.029,-1.552,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
15.6,1,-0.035,-0.008,-0.096,0.002,0.001,-0.101,-1.623,-0.03,-1.554,14.75,75.2,40.505695,-3.354856,603.4,3,5,271.4,0.703
15.7,1,0.005,0.027,-0.09,-0.013,0.008,-0.09,-1.612,-0.032,-1.556,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
15.82,1,-0.041,0.045,-0.082,-0.018,0.035,-0.088,-1.607,-0.032,-1.558,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
15.9,1,0.035,0.022,-0.051,0.007,0.02,-0.071,-1.607,-0.03,-1.56,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
16.01,1,0.027,-0.009,-0.073,0.019,0.012,-0.063,-1.603,-0.028,-1.562,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
16.11,1,-0.051,0.004,-0.098,-0.002,0.006,-0.086,-1.598,-0.024,-1.563,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
16.21,1,-0.147,0.008,-0.061,-0.081,0.005,-0.079,-1.597,-0.022,-1.565,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
16.31,1,-0.046,-0.009,-0.016,-0.082,-0.001,-0.044,-1.6,-0.021,-1.567,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
16.41,1,-0.033,-0.004,-0.066,-0.066,0.0,-0.05,-1.599,-0.019,-1.568,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
16.51,1,0.032,-0.015,-0.042,0.0,-0.012,-0.048,-1.591,-0.02,-1.569,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
16.61,1,0.026,-0.011,-0.054,0.016,-0.013,-0.05,-1.584,-0.019,-1.57,15.72,78.3,40.505703,-3.355109,604.0,3,5,272.1,1.406
16.71,1,-0.019,-0.01,-0.048,-0.006,-0.008,-0.054,-1.578,-0.018,-1.571,16.74,78.7,40.505714,-3.355369,603.2,3,5,273.5,2.109
16.81,1,-0.034,0.01,-0.051,-0.007,-0.004,-0.05,-1.574,-0.016,-1.571,16.74,78.7,40.505714,-3.355369,603.2,3,5,273.5,2.109
