Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
23.66,1,0.001,-0.001,0.016,-0.033,0.039,-0.012,-1.577,-0.062,-1.456,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
23.77,1,0.05,-0.031,0.007,0.008,0.001,0.01,-1.581,-0.058,-1.457,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
23.86,1,-0.04,-0.046,-0.03,0.007,-0.024,-0.008,-1.58,-0.052,-1.456,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
23.98,1,0.022,-0.16,0.008,-0.016,-0.08,-0.005,-1.58,-0.041,-1.453,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
24.06,1,0.023,-0.177,0.002,0.025,-0.14,0.002,-1.579,-0.036,-1.449,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
24.16,1,-0.063,-0.176,-0.005,-0.016,-0.162,-0.004,-1.579,-0.036,-1.443,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
24.27,1,-0.036,-0.164,0.007,-0.032,-0.171,0.001,-1.582,-0.027,-1.437,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
24.37,1,-0.029,-0.137,0.038,-0.038,-0.157,0.016,-1.586,-0.013,-1.43,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
24.47,1,0.054,-0.152,0.013,-0.001,-0.15,0.018,-1.586,-0.003,-1.424,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
24.58,1,0.001,-0.107,-0.004,0.022,-0.134,0.013,-1.583,0.005,-1.418,23.62,85.9,40.505859,-3.357527,607.0,4,5,276.3,0.703
24.67,1,-0.021,-0.099,-0.005,-0.016,-0.109,-0.004,-1.582,0.008,-1.413,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
24.77,1,-0.036,-0.028,0.029,-0.011,-0.081,0.01,-1.584,0.01,-1.411,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
24.86,1,-0.104,0.056,0.013,-0.057,-0.009,0.017,-1.584,0.003,-1.41,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
24.97,1,-0.066,0.066,0.018,-0.074,0.033,0.019,-1.588,0.002,-1.41,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
25.06,1,-0.087,0.12,0.005,-0.072,0.075,0.013,-1.591,-0.002,-1.412,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
25.17,1,-0.009,0.103,0.034,-0.061,0.105,0.018,-1.594,-0.005,-1.414,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
25.26,1,-0.02,0.112,0.011,-0.029,0.11,0.017,-1.599,-0.013,-1.417,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
25.36,1,-0.038,0.104,0.036,-0.031,0.103,0.024,-1.602,-0.021,-1.42,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
25.46,1,0.05,0.051,0.035,-0.001,0.082,0.035,-1.606,-0.024,-1.423,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
25.56,1,0.002,0.038,0.021,0.021,0.057,0.028,-1.607,-0.027,-1.425,24.68,86.6,40.505886,-3.35781,606.5,4,5,277.4,1.758
25.67,1,-0.022,0.025,0.037,-0.012,0.041,0.026,-1.61,-0.028,-1.426,25.61,87.0,40.505905,-3.358092,606.1,4,5,274.9,2.461
25.77,1,0.008,0.038,0.029,0.003,0.032,0.036,-1.612,-0.03,-1.427,25.61,87.0,40.505905,-3.358092,606.1,4,5,274.9,2.461
