Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
17.46,0,-0.025,-0.005,-0.044,-0.018,-0.012,-0.073,-1.605,-0.02,-0.014,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
17.57,0,0.015,-0.043,-0.038,0.0,-0.021,-0.048,-1.607,-0.02,-0.017,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
17.67,0,-0.014,0.01,-0.017,-0.002,-0.012,-0.031,-1.608,-0.02,-0.02,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
17.76,0,-0.018,-0.006,-0.024,-0.016,-0.007,-0.028,-1.603,-0.023,-0.022,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
17.86,1,-0.022,0.014,-0.014,-0.019,0.005,-0.017,-1.593,-0.024,-0.024,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
17.97,1,0.001,-0.037,-0.009,-0.006,-0.02,-0.017,-1.59,-0.022,-0.027,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
18.07,1,0.032,-0.04,0.014,0.006,-0.028,0.0,-1.588,-0.018,-0.028,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
18.17,1,0.019,-0.036,-0.011,0.015,-0.028,0.002,-1.591,-0.016,-0.028,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
18.27,1,-0.018,-0.079,-0.009,0.004,-0.052,-0.01,-1.592,-0.014,-0.028,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
18.37,1,-0.03,-0.065,0.014,-0.012,-0.067,0.002,-1.593,-0.014,-0.028,17.43,0.0,40.583706,-3.555486,610.6,20,229,-1.0,-1.0
18.47,1,-0.061,-0.07,-0.022,-0.035,-0.062,-0.005,-1.594,-0.016,-0.028,18.44,70.1,40.584461,-3.554302,607.9,16,10,96.0,176.836
18.57,1,0.043,0.004,0.035,-0.01,-0.038,0.005,-1.595,-0.019,-0.03,18.44,70.1,40.584461,-3.554302,607.9,16,10,96.0,176.836
18.67,1,0.068,0.01,-0.0,0.025,-0.014,0.01,-1.593,-0.018,-0.033,18.44,70.1,40.584461,-3.554302,607.9,16,10,96.0,176.836
18.78,1,-0.015,0.019,0.022,0.022,0.006,0.011,-1.593,-0.015,-0.034,18.44,70.1,40.584461,-3.554302,607.9,16,10,96.0,176.836
18.87,1,-0.033,-0.022,-0.0,0.004,-0.005,0.012,-1.594,-0.012,-0.036,18.44,70.1,40.584461,-3.554302,607.9,16,10,96.0,176.836
18.97,1,-0.073,-0.038,0.013,-0.049,-0.016,0.009,-1.597,-0.012,-0.038,18.44,70.1,40.584461,-3.554302,607.9,16,10,96.0,176.836
19.07,1,-0.046,0.017,0.03,-0.053,-0.014,0.021,-1.599,-0.015,-0.041,18.44,70.1,40.584461,-3.554302,607.9,16,10,96.0,176.836
19.17,1,0.027,0.065,0.004,-0.015,0.023,0.007,-1.599,-0.018,-0.046,18.44,70.1,40.584461,-3.554302,607.9,16,10,96.0,176.836
