Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
17.42,1,-0.013,0.053,-0.022,0.018,0.003,-0.018,-1.566,-0.034,0.056,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
17.52,1,0.013,0.008,-0.024,0.02,0.019,-0.016,-1.565,-0.035,0.057,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
17.62,1,0.005,-0.014,-0.047,0.008,-0.003,-0.034,-1.566,-0.035,0.056,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
17.72,1,0.005,0.015,0.0,0.004,0.003,-0.026,-1.568,-0.034,0.057,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
17.82,1,-0.021,0.021,-0.036,-0.001,0.016,-0.017,-1.567,-0.033,0.057,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
17.92,1,0.009,0.006,-0.023,-0.009,0.005,-0.032,-1.567,-0.031,0.057,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
18.02,1,-0.009,0.017,-0.008,-0.003,0.02,-0.013,-1.566,-0.031,0.057,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
18.12,1,0.02,-0.037,-0.031,0.016,-0.011,-0.023,-1.563,-0.038,0.057,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
18.22,1,-0.017,0.005,-0.014,-0.013,-0.004,-0.023,-1.564,-0.041,0.057,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
18.32,1,0.066,-0.022,0.01,0.021,-0.013,-0.005,-1.569,-0.039,0.056,17.41,68.2,40.516781,-3.407968,619.2,3,5,325.9,0.703
18.43,1,-0.068,-0.006,-0.024,-0.001,-0.011,-0.012,-1.563,-0.04,0.056,18.42,68.3,40.516933,-3.408077,619.4,3,5,325.5,0.352
18.52,1,-0.016,-0.018,-0.006,-0.032,-0.01,-0.009,-1.557,-0.043,0.056,18.42,68.3,40.516933,-3.408077,619.4,3,5,325.5,0.352
