Timestamp_Accel,SystemActivated,accelerometerXAxis,accelerometerYAxis,accelerometerZAxis,AccelX_KF,AccelY_KF,AccelZ_KF,gyroscopeXAxis,gyroscopeYAxis,gyroscopeZAxis,Timestamp_GPS,Speed,latitude,longitude,Altitude,VerticalAccuracy,HorizontalAccuracy,Course,Difcourse
10.07,1,0.011,-0.009,0.0,-0.009,-0.014,-0.0,-1.588,-0.004,-0.037,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.17,1,-0.053,0.002,-0.012,-0.02,-0.003,-0.005,-1.589,-0.002,-0.036,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.27,1,0.024,-0.057,-0.008,-0.008,-0.024,-0.007,-1.588,0.002,-0.035,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.37,1,0.009,-0.018,-0.009,0.006,-0.032,-0.012,-1.583,0.002,-0.035,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.47,1,-0.007,0.011,-0.009,0.002,-0.009,-0.008,-1.583,0.003,-0.035,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.58,1,-0.027,-0.051,-0.014,-0.014,-0.022,-0.013,-1.586,0.001,-0.035,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.68,1,-0.028,-0.025,-0.013,-0.019,-0.036,-0.007,-1.587,-0.001,-0.035,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.77,1,0.049,-0.011,0.031,0.004,-0.016,0.002,-1.587,-0.003,-0.035,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.87,1,-0.09,-0.002,-0.048,-0.039,-0.01,-0.009,-1.586,0.002,-0.034,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
10.97,1,0.079,-0.027,0.027,0.012,-0.016,-0.006,-1.582,-0.003,-0.033,10.07,62.9,40.505707,-3.355475,602.1,3,5,274.2,0.703
11.08,1,0.011,-0.001,-0.009,0.037,-0.017,0.005,-1.582,-0.01,-0.032,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
11.18,1,-0.03,-0.025,-0.004,-0.002,-0.009,-0.005,-1.583,-0.014,-0.031,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
11.28,1,-0.057,-0.082,-0.01,-0.033,-0.041,-0.009,-1.584,-0.016,-0.031,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
11.39,1,-0.032,-0.036,-0.013,-0.037,-0.054,-0.007,-1.584,-0.017,-0.03,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
11.48,1,0.005,0.036,-0.003,-0.013,-0.014,-0.006,-1.585,-0.017,-0.029,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
11.58,1,0.021,0.038,0.007,-0.009,0.023,-0.003,-1.584,-0.017,-0.03,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
11.68,1,0.031,-0.043,0.0,0.031,-0.004,0.012,-1.582,-0.015,-0.032,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
11.78,1,0.038,0.009,-0.023,0.024,-0.012,-0.015,-1.581,-0.015,-0.032,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
11.89,1,0.018,-0.009,-0.002,0.031,0.001,-0.01,-1.581,-0.016,-0.032,11.07,63.7,40.505722,-3.355671,601.8,3,5,271.1,3.164
